CustomerName,Address,City,State,Notes
"Ingram Micro, Inc.","789 Pine Rd
Building B
Floor 10",Chicago,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Patel."
Global Trading Co.,9 Riverside Dr,Seattle,FL,"Standard account, no special terms."
"Ingram Micro, Inc.","555 Market St, Floor 12",Seattle,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Smith."
"Acme, Inc.","12 Industrial Way, Unit B
Building B
Floor 15",Los Angeles,IL,"Standard account, no special terms."
"Great Plains Energy, Inc.",321 Elm St,Houston,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Hogan."
"Great Plains Energy, Inc.","555 Market St, Floor 12",Miami,NY,"Standard account, no special terms."
"Contoso, Ltd.","555 Market St, Floor 12
Building C
Floor 13",New York,CA,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Nelson."
"Great Plains Energy, Inc.","123 Main St, Suite 5",Los Angeles,TX,"Standard account, no special terms."
"Northwind Traders, LLC","555 Market St, Floor 12",Houston,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Doe."
"Acme, Inc.","555 Market St, Floor 12
Building C
Floor 17",Houston,CA,"Standard account, no special terms."
"Great Plains Energy, Inc.",321 Elm St,Seattle,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Stuart."
Smith & Sons,"12 Industrial Way, Unit B",San Francisco,CA,"Standard account, no special terms."
"O""Brien Corp","123 Main St, Suite 5
Building B
Floor 3",San Francisco,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Doe."
"Great Plains Energy, Inc.",456 Oak Ave,Los Angeles,FL,"Standard account, no special terms."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B",Houston,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Chen."
"O""Brien Corp","123 Main St, Suite 5
Building A
Floor 13",Miami,IL,"Standard account, no special terms."
George Weston Bakeries,9 Riverside Dr,New York,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Chen."
Johnson's Hardware,"555 Market St, Floor 12",Seattle,TX,"Standard account, no special terms."
"Contoso, Ltd.","12 Industrial Way, Unit B
Building C
Floor 16",Chicago,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Doe."
"O""Brien Corp","555 Market St, Floor 12",Houston,WA,"Standard account, no special terms."
"Northwind Traders, LLC",9 Riverside Dr,Seattle,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Smith."
Johnson's Hardware,"123 Main St, Suite 5
Building B
Floor 13",Chicago,TX,"Standard account, no special terms."
"Great Plains Energy, Inc.",456 Oak Ave,New York,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Reyes."
"Ingram Micro, Inc.","555 Market St, Floor 12",San Francisco,TX,"Standard account, no special terms."
"Great Plains Energy, Inc.","123 Main St, Suite 5
Building A
Floor 12",Houston,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Nelson."
Global Trading Co.,"12 Industrial Way, Unit B",Seattle,NY,"Standard account, no special terms."
"Great Plains Energy, Inc.",789 Pine Rd,Los Angeles,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Chen."
Smith & Sons,"12 Industrial Way, Unit B
Building A
Floor 13",New York,TX,"Standard account, no special terms."
"Northwind Traders, LLC",9 Riverside Dr,Houston,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Stuart."
"Acme, Inc.","123 Main St, Suite 5",Seattle,IL,"Standard account, no special terms."
Smith & Sons,"9 Riverside Dr
Building A
Floor 11",Houston,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Nelson."
"Contoso, Ltd.",9 Riverside Dr,Houston,WA,"Standard account, no special terms."
Global Trading Co.,456 Oak Ave,Houston,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Khan."
Johnson's Hardware,"456 Oak Ave
Building B
Floor 7",New York,IL,"Standard account, no special terms."
"Ingram Micro, Inc.","555 Market St, Floor 12",New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Chen."
George Weston Bakeries,9 Riverside Dr,New York,CA,"Standard account, no special terms."
"Contoso, Ltd.","789 Pine Rd
Building C
Floor 6",Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Chen."
"Acme, Inc.","123 Main St, Suite 5",San Francisco,IL,"Standard account, no special terms."
Smith & Sons,321 Elm St,Seattle,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Khan."
"Northwind Traders, LLC","555 Market St, Floor 12
Building B
Floor 5",New York,NY,"Standard account, no special terms."
Smith & Sons,789 Pine Rd,Los Angeles,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Hogan."
George Weston Bakeries,"123 Main St, Suite 5",Seattle,NY,"Standard account, no special terms."
"Acme, Inc.","9 Riverside Dr
Building A
Floor 9",Los Angeles,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Chen."
Global Trading Co.,"12 Industrial Way, Unit B",Houston,NY,"Standard account, no special terms."
"Acme, Inc.",9 Riverside Dr,New York,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Nelson."
"Northwind Traders, LLC","555 Market St, Floor 12
Building C
Floor 14",San Francisco,NY,"Standard account, no special terms."
"Contoso, Ltd.",456 Oak Ave,Los Angeles,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Chen."
"Acme, Inc.","555 Market St, Floor 12",Seattle,WA,"Standard account, no special terms."
"Acme, Inc.","789 Pine Rd
Building B
Floor 8",Seattle,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Khan."
"Acme, Inc.",456 Oak Ave,New York,TX,"Standard account, no special terms."
"Acme, Inc.",321 Elm St,Los Angeles,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Khan."
Smith & Sons,"555 Market St, Floor 12
Building C
Floor 17",Miami,IL,"Standard account, no special terms."
George Weston Bakeries,789 Pine Rd,Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Nelson."
"Contoso, Ltd.",321 Elm St,Chicago,NY,"Standard account, no special terms."
Johnson's Hardware,"9 Riverside Dr
Building C
Floor 5",Houston,WA,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Doe."
Johnson's Hardware,"12 Industrial Way, Unit B",Chicago,TX,"Standard account, no special terms."
"Contoso, Ltd.","123 Main St, Suite 5",Chicago,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Stuart."
Johnson's Hardware,"555 Market St, Floor 12
Building C
Floor 6",Miami,NY,"Standard account, no special terms."
"O""Brien Corp",321 Elm St,Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Hogan."
"Northwind Traders, LLC",789 Pine Rd,San Francisco,NY,"Standard account, no special terms."
"Ingram Micro, Inc.","9 Riverside Dr
Building C
Floor 6",Miami,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Nelson."
"Acme, Inc.",456 Oak Ave,Houston,NY,"Standard account, no special terms."
George Weston Bakeries,321 Elm St,Chicago,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Hogan."
Johnson's Hardware,"789 Pine Rd
Building C
Floor 3",San Francisco,NY,"Standard account, no special terms."
Johnson's Hardware,"555 Market St, Floor 12",Houston,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Reyes."
"Great Plains Energy, Inc.",456 Oak Ave,Miami,TX,"Standard account, no special terms."
"O""Brien Corp","555 Market St, Floor 12
Building A
Floor 15",San Francisco,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Khan."
"Acme, Inc.","12 Industrial Way, Unit B",Chicago,FL,"Standard account, no special terms."
George Weston Bakeries,456 Oak Ave,Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Nelson."
George Weston Bakeries,"123 Main St, Suite 5
Building C
Floor 18",Seattle,WA,"Standard account, no special terms."
George Weston Bakeries,456 Oak Ave,Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Reyes."
Smith & Sons,"12 Industrial Way, Unit B",Seattle,WA,"Standard account, no special terms."
Johnson's Hardware,"123 Main St, Suite 5
Building B
Floor 2",Los Angeles,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Khan."
Smith & Sons,456 Oak Ave,New York,NY,"Standard account, no special terms."
Global Trading Co.,"123 Main St, Suite 5",New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Stuart."
"Great Plains Energy, Inc.","456 Oak Ave
Building B
Floor 8",New York,FL,"Standard account, no special terms."
"Acme, Inc.",456 Oak Ave,Seattle,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Stuart."
"Ingram Micro, Inc.","12 Industrial Way, Unit B",Chicago,WA,"Standard account, no special terms."
"Great Plains Energy, Inc.","789 Pine Rd
Building B
Floor 15",Houston,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Nelson."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B",New York,CA,"Standard account, no special terms."
"Great Plains Energy, Inc.",456 Oak Ave,Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Smith."
George Weston Bakeries,"456 Oak Ave
Building C
Floor 12",New York,CA,"Standard account, no special terms."
"Northwind Traders, LLC",789 Pine Rd,New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Chen."
George Weston Bakeries,"555 Market St, Floor 12",Seattle,TX,"Standard account, no special terms."
"Great Plains Energy, Inc.","9 Riverside Dr
Building B
Floor 4",Seattle,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Patel."
George Weston Bakeries,456 Oak Ave,Houston,CA,"Standard account, no special terms."
"Acme, Inc.",9 Riverside Dr,Houston,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Hogan."
Smith & Sons,"9 Riverside Dr
Building C
Floor 17",San Francisco,NY,"Standard account, no special terms."
"Ingram Micro, Inc.","123 Main St, Suite 5",Houston,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Nelson."
Global Trading Co.,"555 Market St, Floor 12",Los Angeles,TX,"Standard account, no special terms."
Global Trading Co.,"123 Main St, Suite 5
Building C
Floor 13",Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Stuart."
"Contoso, Ltd.","555 Market St, Floor 12",Seattle,FL,"Standard account, no special terms."
"Contoso, Ltd.",9 Riverside Dr,Miami,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Chen."
"Contoso, Ltd.","555 Market St, Floor 12
Building B
Floor 3",Miami,WA,"Standard account, no special terms."
"Acme, Inc.",789 Pine Rd,San Francisco,FL,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Stuart."
"Acme, Inc.","555 Market St, Floor 12",Miami,NY,"Standard account, no special terms."
"Contoso, Ltd.","123 Main St, Suite 5
Building C
Floor 10",Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Reyes."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B",Seattle,CA,"Standard account, no special terms."
"Great Plains Energy, Inc.","555 Market St, Floor 12",Houston,FL,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Stuart."
Global Trading Co.,"123 Main St, Suite 5
Building C
Floor 6",Houston,TX,"Standard account, no special terms."
"Northwind Traders, LLC",9 Riverside Dr,Seattle,IL,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Patel."
"Acme, Inc.","555 Market St, Floor 12",Houston,FL,"Standard account, no special terms."
George Weston Bakeries,"321 Elm St
Building B
Floor 10",Miami,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Khan."
"Northwind Traders, LLC","555 Market St, Floor 12",Miami,IL,"Standard account, no special terms."
"Northwind Traders, LLC",9 Riverside Dr,Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Doe."
George Weston Bakeries,"9 Riverside Dr
Building A
Floor 17",Miami,FL,"Standard account, no special terms."
"Great Plains Energy, Inc.",9 Riverside Dr,Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Nelson."
"Acme, Inc.",9 Riverside Dr,Houston,CA,"Standard account, no special terms."
"Contoso, Ltd.","456 Oak Ave
Building A
Floor 17",Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Khan."
"Ingram Micro, Inc.","12 Industrial Way, Unit B",Houston,WA,"Standard account, no special terms."
"O""Brien Corp","555 Market St, Floor 12",Los Angeles,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
Smith & Sons,"555 Market St, Floor 12
Building A
Floor 18",Chicago,NY,"Standard account, no special terms."
"Great Plains Energy, Inc.",9 Riverside Dr,Houston,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Stuart."
"O""Brien Corp",456 Oak Ave,Seattle,IL,"Standard account, no special terms."
"Ingram Micro, Inc.","9 Riverside Dr
Building A
Floor 6",Chicago,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Patel."
"Northwind Traders, LLC","123 Main St, Suite 5",Chicago,NY,"Standard account, no special terms."
Johnson's Hardware,9 Riverside Dr,Chicago,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Khan."
"O""Brien Corp","321 Elm St
Building C
Floor 15",Chicago,FL,"Standard account, no special terms."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B",Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Khan."
George Weston Bakeries,321 Elm St,Seattle,IL,"Standard account, no special terms."
"Ingram Micro, Inc.","123 Main St, Suite 5
Building C
Floor 19",Chicago,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Nelson."
"Contoso, Ltd.",789 Pine Rd,Miami,CA,"Standard account, no special terms."
"Great Plains Energy, Inc.",456 Oak Ave,Seattle,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Hogan."
Global Trading Co.,"321 Elm St
Building B
Floor 10",Miami,CA,"Standard account, no special terms."
Global Trading Co.,321 Elm St,Houston,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Hogan."
Global Trading Co.,789 Pine Rd,Chicago,IL,"Standard account, no special terms."
"Great Plains Energy, Inc.","789 Pine Rd
Building A
Floor 2",Seattle,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Khan."
Global Trading Co.,789 Pine Rd,San Francisco,NY,"Standard account, no special terms."
"Great Plains Energy, Inc.",9 Riverside Dr,Los Angeles,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Nelson."
"Ingram Micro, Inc.","9 Riverside Dr
Building A
Floor 12",Houston,IL,"Standard account, no special terms."
Smith & Sons,"12 Industrial Way, Unit B",New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Patel."
George Weston Bakeries,9 Riverside Dr,Chicago,WA,"Standard account, no special terms."
"O""Brien Corp","9 Riverside Dr
Building B
Floor 8",Chicago,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Smith."
"Acme, Inc.","123 Main St, Suite 5",Chicago,WA,"Standard account, no special terms."
"Acme, Inc.","555 Market St, Floor 12",Houston,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Chen."
Smith & Sons,"789 Pine Rd
Building B
Floor 6",Houston,IL,"Standard account, no special terms."
Smith & Sons,789 Pine Rd,Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Nelson."
Johnson's Hardware,456 Oak Ave,Chicago,NY,"Standard account, no special terms."
Smith & Sons,"555 Market St, Floor 12
Building C
Floor 20",New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Nelson."
"O""Brien Corp","123 Main St, Suite 5",San Francisco,WA,"Standard account, no special terms."
"Great Plains Energy, Inc.",9 Riverside Dr,Seattle,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Hogan."
"Contoso, Ltd.","9 Riverside Dr
Building B
Floor 16",Seattle,FL,"Standard account, no special terms."
"Contoso, Ltd.",9 Riverside Dr,Los Angeles,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Smith."
"Ingram Micro, Inc.",321 Elm St,Seattle,TX,"Standard account, no special terms."
Smith & Sons,"321 Elm St
Building B
Floor 20",San Francisco,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Chen."
George Weston Bakeries,"123 Main St, Suite 5",Chicago,CA,"Standard account, no special terms."
Global Trading Co.,"123 Main St, Suite 5",Los Angeles,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Nelson."
Global Trading Co.,"789 Pine Rd
Building C
Floor 14",Miami,IL,"Standard account, no special terms."
"Great Plains Energy, Inc.",456 Oak Ave,Seattle,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Nelson."
"Ingram Micro, Inc.","12 Industrial Way, Unit B",Los Angeles,FL,"Standard account, no special terms."
Smith & Sons,"9 Riverside Dr
Building C
Floor 15",New York,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Chen."
"Ingram Micro, Inc.","123 Main St, Suite 5",Chicago,NY,"Standard account, no special terms."
Smith & Sons,456 Oak Ave,Los Angeles,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Doe."
"Ingram Micro, Inc.","9 Riverside Dr
Building C
Floor 16",Chicago,TX,"Standard account, no special terms."
"Northwind Traders, LLC","12 Industrial Way, Unit B",Houston,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Smith."
Smith & Sons,789 Pine Rd,Los Angeles,TX,"Standard account, no special terms."
"Contoso, Ltd.","321 Elm St
Building A
Floor 20",New York,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Chen."
"Acme, Inc.","555 Market St, Floor 12",New York,CA,"Standard account, no special terms."
"Ingram Micro, Inc.",9 Riverside Dr,Seattle,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Doe."
"O""Brien Corp","789 Pine Rd
Building A
Floor 4",Houston,FL,"Standard account, no special terms."
Johnson's Hardware,"12 Industrial Way, Unit B",San Francisco,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Chen."
Johnson's Hardware,"123 Main St, Suite 5",Seattle,NY,"Standard account, no special terms."
"Northwind Traders, LLC","123 Main St, Suite 5
Building A
Floor 15",San Francisco,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Khan."
Johnson's Hardware,"555 Market St, Floor 12",Miami,TX,"Standard account, no special terms."
George Weston Bakeries,321 Elm St,Miami,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Hogan."
"Ingram Micro, Inc.","9 Riverside Dr
Building A
Floor 20",Seattle,FL,"Standard account, no special terms."
"Ingram Micro, Inc.",456 Oak Ave,Miami,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Khan."
"Northwind Traders, LLC","555 Market St, Floor 12",Miami,NY,"Standard account, no special terms."
George Weston Bakeries,"9 Riverside Dr
Building C
Floor 12",New York,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Khan."
Global Trading Co.,"12 Industrial Way, Unit B",Houston,NY,"Standard account, no special terms."
"Northwind Traders, LLC",9 Riverside Dr,Houston,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Hogan."
Global Trading Co.,"321 Elm St
Building B
Floor 8",Miami,NY,"Standard account, no special terms."
Smith & Sons,9 Riverside Dr,Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Stuart."
"Great Plains Energy, Inc.","123 Main St, Suite 5",San Francisco,WA,"Standard account, no special terms."
Global Trading Co.,"456 Oak Ave
Building B
Floor 18",Los Angeles,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Nelson."
"Acme, Inc.",321 Elm St,Houston,FL,"Standard account, no special terms."
"Ingram Micro, Inc.",789 Pine Rd,Los Angeles,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Khan."
George Weston Bakeries,"555 Market St, Floor 12
Building C
Floor 16",Miami,CA,"Standard account, no special terms."
Johnson's Hardware,789 Pine Rd,Los Angeles,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
George Weston Bakeries,321 Elm St,Houston,FL,"Standard account, no special terms."
George Weston Bakeries,"321 Elm St
Building B
Floor 5",Seattle,TX,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Chen."
"Acme, Inc.",9 Riverside Dr,New York,TX,"Standard account, no special terms."
"Northwind Traders, LLC","123 Main St, Suite 5",New York,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Reyes."
Global Trading Co.,"12 Industrial Way, Unit B
Building A
Floor 20",New York,FL,"Standard account, no special terms."
Global Trading Co.,456 Oak Ave,New York,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Nelson."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B",Miami,WA,"Standard account, no special terms."
"Northwind Traders, LLC","12 Industrial Way, Unit B
Building C
Floor 18",Seattle,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Reyes."
"Northwind Traders, LLC",9 Riverside Dr,Los Angeles,NY,"Standard account, no special terms."
"Contoso, Ltd.",789 Pine Rd,Los Angeles,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Patel."
Global Trading Co.,"789 Pine Rd
Building A
Floor 4",Houston,CA,"Standard account, no special terms."
"Ingram Micro, Inc.",9 Riverside Dr,Miami,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Smith."
"Contoso, Ltd.",456 Oak Ave,Houston,WA,"Standard account, no special terms."
"O""Brien Corp","555 Market St, Floor 12
Building C
Floor 12",Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Khan."
Global Trading Co.,"12 Industrial Way, Unit B",Seattle,WA,"Standard account, no special terms."
"Acme, Inc.","12 Industrial Way, Unit B",Chicago,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
"Ingram Micro, Inc.","789 Pine Rd
Building C
Floor 18",Miami,IL,"Standard account, no special terms."
Smith & Sons,"123 Main St, Suite 5",Houston,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Chen."
"Ingram Micro, Inc.","12 Industrial Way, Unit B",San Francisco,NY,"Standard account, no special terms."
George Weston Bakeries,"456 Oak Ave
Building B
Floor 12",Los Angeles,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Smith."
"O""Brien Corp","12 Industrial Way, Unit B",Los Angeles,IL,"Standard account, no special terms."
George Weston Bakeries,456 Oak Ave,Seattle,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Khan."
Johnson's Hardware,"789 Pine Rd
Building B
Floor 17",New York,TX,"Standard account, no special terms."
"Great Plains Energy, Inc.",456 Oak Ave,New York,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Chen."
"Contoso, Ltd.",456 Oak Ave,San Francisco,WA,"Standard account, no special terms."
George Weston Bakeries,"321 Elm St
Building C
Floor 15",New York,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Stuart."
"Great Plains Energy, Inc.",321 Elm St,Los Angeles,NY,"Standard account, no special terms."
Smith & Sons,"555 Market St, Floor 12",San Francisco,WA,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Khan."
"Northwind Traders, LLC","12 Industrial Way, Unit B
Building B
Floor 20",Houston,FL,"Standard account, no special terms."
Global Trading Co.,789 Pine Rd,Seattle,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Stuart."
"O""Brien Corp",9 Riverside Dr,Houston,FL,"Standard account, no special terms."
"O""Brien Corp","9 Riverside Dr
Building B
Floor 15",San Francisco,TX,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Nelson."
"Great Plains Energy, Inc.","555 Market St, Floor 12",New York,FL,"Standard account, no special terms."
"Ingram Micro, Inc.","12 Industrial Way, Unit B",Seattle,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Khan."
George Weston Bakeries,"9 Riverside Dr
Building A
Floor 17",Chicago,FL,"Standard account, no special terms."
"Contoso, Ltd.",321 Elm St,Houston,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Khan."
Johnson's Hardware,321 Elm St,Chicago,WA,"Standard account, no special terms."
George Weston Bakeries,"321 Elm St
Building A
Floor 20",Seattle,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Stuart."
"Ingram Micro, Inc.",789 Pine Rd,Miami,TX,"Standard account, no special terms."
"Ingram Micro, Inc.","123 Main St, Suite 5",Houston,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Smith."
"O""Brien Corp","9 Riverside Dr
Building C
Floor 6",Los Angeles,CA,"Standard account, no special terms."
Smith & Sons,789 Pine Rd,Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Chen."
Johnson's Hardware,"123 Main St, Suite 5",Miami,FL,"Standard account, no special terms."
Global Trading Co.,"123 Main St, Suite 5
Building C
Floor 16",Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Patel."
Global Trading Co.,"555 Market St, Floor 12",Seattle,FL,"Standard account, no special terms."
"O""Brien Corp",321 Elm St,Miami,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Khan."
Johnson's Hardware,"789 Pine Rd
Building A
Floor 11",San Francisco,IL,"Standard account, no special terms."
"Ingram Micro, Inc.","12 Industrial Way, Unit B",Miami,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Stuart."
"O""Brien Corp","555 Market St, Floor 12",Seattle,TX,"Standard account, no special terms."
"Acme, Inc.","9 Riverside Dr
Building A
Floor 8",Miami,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Khan."
George Weston Bakeries,9 Riverside Dr,Los Angeles,NY,"Standard account, no special terms."
"Acme, Inc.",9 Riverside Dr,Houston,IL,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Khan."
Johnson's Hardware,"123 Main St, Suite 5
Building B
Floor 17",Chicago,WA,"Standard account, no special terms."
Johnson's Hardware,"123 Main St, Suite 5",Seattle,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Nelson."
"Great Plains Energy, Inc.","555 Market St, Floor 12",Chicago,FL,"Standard account, no special terms."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B
Building A
Floor 6",New York,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Nelson."
Global Trading Co.,9 Riverside Dr,New York,IL,"Standard account, no special terms."
"Acme, Inc.",9 Riverside Dr,New York,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Nelson."
Global Trading Co.,"123 Main St, Suite 5
Building C
Floor 7",Miami,FL,"Standard account, no special terms."
"Great Plains Energy, Inc.",9 Riverside Dr,New York,WA,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Doe."
"Ingram Micro, Inc.","555 Market St, Floor 12",Miami,TX,"Standard account, no special terms."
George Weston Bakeries,"9 Riverside Dr
Building A
Floor 8",Seattle,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Smith."
Global Trading Co.,789 Pine Rd,Los Angeles,IL,"Standard account, no special terms."
Smith & Sons,9 Riverside Dr,Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Patel."
Global Trading Co.,"123 Main St, Suite 5
Building B
Floor 13",Los Angeles,TX,"Standard account, no special terms."
Johnson's Hardware,"555 Market St, Floor 12",Houston,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Doe."
